Sentence,Class
Then he is asked if he has insurance.,Relevant
" If so; we check the e-mail sent by the hospital insurance. ,Relevant"
"If not; we send it to the insurance terminal. ,Relevant"
"After this step; we explain the admission declaration; fill it out and has it signed. ,Relevant"
"The admission declaration includes among other things the choice of insurance; the costs of the stay; the pharmaceutical costs; etc. ,Irrelevant"
"Once the declaration is signed; the patient receives an identification bracelet and labels. ,Relevant"
"Finally; the patient is sent to the surgery department. ,Relevant"
The surgery department is located on the third floor. ,Irrelevant
"The patient is then received by the nurses; who explain how the operation will be done.,Relevant"
 Uber Eats is an American online food ordering and delivery platform launched by Uber in 2014 ,Irrelevant
 The process starts when the customer selects a dish in uber Eats app and places an order ,Relevant
 The consumer has the possibility to add a comment on the ingredients of the dish when placing the order ,Relevant
 The uber software receives a request for a dish ,Relevant
 The restaurant decides to accept or not the request ,Relevant
 The restaurant prepares the order ,Relevant
 If yes the uber software sends a request to a driver to deliver the dish ,Relevant
" Then; the customer receives a confirmation and tracks the order progress through the application,Relevant"
 The restaurant notifies the driver when the dish is ready ,Relevant
 The driver delivers the dish and contacts the customer when arrived to destination ,Relevant
 The uber software receives the payment by a credit card and sends the invoice by email ,Relevant
 The uber software sends a notification to note the delivery experience and the restaurant ,Relevant
 If the customer is satisfied he can tip the driver through the app,Relevant
" Campus France is the national agency in charge of promoting French higher education abroad; managing scholarships from French and foreign governments and hosting international students,Irrelevant"
 The student builds his study project and learns about the training courses offered,Relevant
" The student prepares his application ( for instance language tests; translations of diplomas...) and creates his account on the site,Relevant"
 The student submits his application online,Relevant
 The student pays the costs of the file online or on-site with credit card or via a cheque,Relevant
 The agency sends a confirmation email,Relevant
 If the file is complete the agency validates the file on the platform,Relevant
 After a few days the agency sends a notice to pass the motivation interview by email,Relevant
 After one month the student starts receiving responses from universities: two possibilities: - no admission: end of process  - one or more admissions: the student receives the certificate of acceptance and makes his final choice,Relevant
 The student presents the original documents of his academic background and the certificate of acceptance to the agency,Relevant
 The student prepares his departure with the help of workshops organized by Campus France,Relevant
 The student fills his visa application with the certificate of acceptance signed by campus France,Relevant
"A so-called “mini-enterprise” is a company created by young people in their final year of secondary school; who in addition to this activity; study economics; for example,Irrelevant"
" The process of creating a mini-business begins with the application to LJE; the organization that oversees the activity,Relevant"
 LJE takes the application into consideration and will then visit the students,Relevant
" The students submit the project; for example the creation of a drink; and briefly describe their ambitions,Relevant"
 The students have to start looking for a minimum capital of 700 euros,Relevant
" Following this; an opening general meeting is held in order to legally create the entity,Relevant"
" This is followed by a year of sales; fairs; and learning,Relevant"
" If the project fails and the team dissolves; an extraordinary meeting must be called to warn the shareholders,Relevant"
" If the activity goes smoothly; a general meeting is scheduled in April; all shareholders must be called at least 15 days before,Relevant"
" If they do not wish to attend the event; they must either authorize another person to attend in their place with a written proxy; or notify the company in writing of their absence,Relevant"
" The document must be in A4 format; sent in pdf format and legible,Irrelevant"
" At the end of the year; the students dissolve the company; either by donating the capital to an association or by returning it to the shareholders,Relevant"
 This depends on the dynamics of each group,Irrelevant
" If the share has increased in value; the shareholder will have realized a capital gain; if the share is lower than its initial value; he will have made a capital loss,Relevant"
" For students who do not wish to dissolve the company; it is possible to continue the project and be supported by an incubator,Relevant"
The Erasmus is the journey of a lifetime,Irrelevant
" First of all; the student goes to the International Relations Department in order to consult various testimonies of former students,Relevant"
" If none of them seduced him; they can either abandon their project or consider a double degree,Relevant"
" In the latter case; they consult Mrs. Gillet and the process stops,Relevant"
" If the student is interested and after consulting the testimonies; they will select their favorite destinations,Relevant"
 They will then register in the student ranking,Relevant
" If their average is sufficient; they will be able to go to one of their favorite destinations,Relevant"
" If not; they will be assigned another destination without affecting the rest of the process,Relevant"
" Some students are very disappointed; frustrated and regret not having worked harder to get a better place in the ranking,Irrelevant"
" Anyway; the student then contacts the university that will host them,Relevant"
" They receive their learning agreement from the University of Liège; transfer it to their host university and start looking for accommodation,Relevant"
" Students are also advised to learn some of the language of the host country; but few apply this advice,Relevant"
" Once the departure date arrives; the student goes to their host university and gives a paper to be signed by the local office; which they send directly to the University of Liège to prove that they are in fact there,Relevant"
 The student spends one semester in their new school,Relevant
" At the end of this time; the student takes the examinations and obtains a certificate of achievement; which they hand over to the University of Liège on their return,Relevant"
" In case of failure; the student will retake the exams abroad; until obtaining the certificate; in order to close the Erasmus,Relevant"
 The warehouse takes care of sending packages in the different office of the company according to their orders ,Relevant
 The process starts when an office sends an email for placing an order ,Relevant
" For example: pens; pencils; sheet of paper; staples; folders and so on ,Irrelevant"
 Employees are notified that an order is receiving ,Relevant
 An employee looks the order ,Relevant
 The employee prints the order ,Relevant
 The employee prepares a cart and the order sheet ,Relevant
 The employee moves around the warehouse and fills his cart according to the order ,Relevant
" For example: he puts paper toilet; pens and coffee bag ,Irrelevant"
" Then; he puts the cart with the order sheet in the room of current orders ,Relevant"
 Another employee checks the cart and the order sheet to be sure there is no mistake ,Relevant
" Then; he packs the order ,Relevant"
" Meanwhile; another employee prints the invoice with all the items in the order ,Relevant"
 The invoice is put in the package ,Relevant
" Then; the order is filed in the loading room ,Relevant"
" A truck picks up the order and drops it off at the office; the process is finished,Relevant"
 UnoBis is a restaurant which sells pizza and pates to takeaway ,Irrelevant
 The process starts when a customer rings to place an order ,Relevant
 An employee picks up the phone ,Relevant
 The employee asks for his order ,Relevant
 The customer communicates his order ,Relevant
 For example: one pizza Sole Mio and one pizza Margherita ,Irrelevant
 The employee notes the order and gives an hour to pick up the command ,Relevant
 An employee prepares the order ,Relevant
 The kitchens contain all the equipment needed to cook pizza and pates ,Irrelevant
" Meanwhile; the customer leaves his home and comes to the restaurant ,Relevant"
 The employee hosts the customer ,Relevant
 He says the amount of the order for the payment ,Relevant
 The customer pays cash ,Relevant
 You can’t pay by card ,Irrelevant
 The employee gives the order to the customer ,Relevant
" The customer takes his order and leaves the restaurant; the process is finished,Relevant"
"Traiteur de Haene is a caterer operating in Belgium; Brussels region; only in B2B,Irrelevant"
" When a company wants to order food from them; they need first to check their website to see what the different offers are,Relevant"
" Then; they decide which menu they want to order,Relevant"
" It can be for example buffets; starters or several meals,Irrelevant"
" After taking this decision; they need to call or send an email for information,Relevant"
" When Traiteur de Haene receives the call or email; they will send a quotation in a document to be filled online,Relevant"
" Then; the ordering company will fill the document and complete the order by sending their approbation by email or by phone,Relevant"
" As soon as Traiteur de Haene have received the confirmation of order; they will encode it in their data basis,Relevant"
" When the order confirmation is encoded; an order receipt will be printed,Relevant"
 This receipt will be put in an excel file,Relevant
" The order is finally sent to the kitchen so they can start preparing it; depending on when is the delivery date and time,Relevant"
 They are able to deliver during the day or on the evening,Irrelevant
" When the delivery time comes; the delivery team plan their delivery regarding the place and the time; and then deliver it,Relevant"
" When the lunch or dinner is finished; the ordering company can choose weather Traiteur de Haene comes back to take the plates back or not,Relevant"
" If they chose not to; the process is finished,Relevant"
" If they want Traiteur de Haene to take the plates back; the process is finished when the delivery team has taken the plates back,Relevant"
"In march 2021; if a person wants to enter Belgium from abroad; he/she needs to follow some procedures,Relevant"
 This situation is due to the corona crisis that the world is living,Irrelevant
 The person needs first to check which measures apply when leaving the country he/she is currently in,Relevant
 Those measures are different depending on the country,Irrelevant
" When the person knows what to do to leave; he/she needs to fill up an online document regarding the entrance in Belgium by filling many personal information and precising weather he/she stays longer than 48h in Belgium or not and if he/she is resident of Belgium,Relevant"
" If the person is a Belgian resident; he/she will not be asked to provide a negative PCR test before entering the country,Relevant"
" If the person is not Belgian resident; he/she will be required to provide a negative PCR test,Relevant"
" If the person stays less than 48; the person is not required to quarantine and a PCR test,Relevant"
" If the person plans to stay longer than 48h; he/she will have to self-isolate for 10 days; and to do a PCR test at the first and 7th day of quarantine,Relevant"
" When the person enters Belgium; he/she receives an SMS with a code and a link,Relevant"
" The sms is written in Dutch; French and German,Irrelevant"
 The person can then click on the link and book an appointment for the first PCR test using the code he/she was provided,Relevant
 Another SMS with another code will follow for the second PCR test,Relevant
" If the second test is positive; the person needs to keep self-isolating and do another test 7 days after,Relevant"
 The process ends when the person is negative to COVID-19,Relevant
Let’s take the example of a mini-golf. ,Irrelevant
The process starts when a customer enters the mini golf. ,Relevant
The customer asks for the equipment to an employee at the desk.  ,Relevant
The employee at the desk asks for the number of players and the age. ,Relevant
The customer communicates the number of players and their age. ,Relevant
"For example; 2 adults and 3 children.  ,Irrelevant"
The employee in the equipment zone is notified with the equipment to prepare.,Relevant
The customer pays for the equipment in cash or card and also pays a deposit.,Relevant
"Meanwhile; the employee in the equipment zone prepares the equiment.,Relevant"
The customer goes to the equipment zone. ,Relevant
The employee in the equipment zone gives the equipment to the customer. ,Relevant
The customer starts playing.,Relevant
The customer comes back to the equipment zone and gives back the equipment.,Relevant
The employee in the equipment zone notifies the desk that the equipment is back.,Relevant
The customer goes to the desk. ,Relevant
The employee at the desk gives back the deposit. ,Relevant
The customer leaves.,Relevant
ASP Groupe is a renovation company which works with insurance company. ,Irrelevant
The process starts when a customer calls his insurance company after a sinister.,Relevant
The insurance company contact ASP Groupe. ,Relevant
An employee of ASP Group goes to the sinister to see the damages. ,Relevant
"For example; a completely burnt house. ,Irrelevant"
The employee draw up a quote. ,Relevant
The quote is sent to the insurance company. ,Relevant
The insurance analyses the quote and accept it or not. ,Relevant
"Meanwhile; ASP Groupe employee check the availability of its workers in case the quote is accepted.  ,Relevant"
Workers can be ASP Groupe’s workers or subcontractors.,Irrelevant
"If the insurance company accepts the quote; the workers start to work on the sinister. ,Relevant"
The insurance pays the amount to ASP Groupe when the work is done. ,Relevant
The Burger customers’ order are received on the application,Relevant
" When an order is received; the central allocate the order to the restaurant closest to the customers’ location,Relevant"
" Once the restaurant receives the order; the chef take the right amount of meat patties out of the fridge,Relevant"
 They need to stay out of the fridge around 10minutes in order for the cooking to be perfect,Relevant
" Simultaneously; the chef slice the vegetables and prepare the Fresh Sauce,Relevant"
" The Fresh Sauce is a “The Burger special” sauce; customers love it,Irrelevant"
" Then; the chef heats the bread before assembling The Burger,Relevant"
" While the chef is cooking; the central check whether the payment from the customer has been received and book a delivery guy,Relevant"
" Once notified; the delivery guy goes to the restaurant to pick up The Burger,Relevant"
 He then delivers it in less than 6minutes to the client,Relevant
 That’s what we call efficiency!,Irrelevant
Alfred works as postman in the town of Saive,Irrelevant
" Everyday; he engages in a delivery tour to post letters,Relevant"
" Each morning; Alfred bikes to the post station and get the letters,Relevant"
 He also check whether packages need to be delivered today,Relevant
" If there are no packages; Alfred delivers the mail by bike; he enjoys it more,Relevant"
" However; if there are packages to be delivered; Alfred drives the post truck because he can’t carry all the packages on his back,Relevant"
" He always starts by delivering mail in the neighborhood A; the farthest from the post station,Relevant"
" Then; Alfred delivers neighborhood D; C and B; in that order,Relevant"
" In the afternoon; Alfred goes back to the post station and prepares his next day delivery round,Relevant"
" To do so; he allocates each letter to its right neighborhood,Relevant"
" For every letter; Alfred must check whether it is well stamped,Relevant"
" Once these tasks are done; Alfred is free to go back home and walk his dog!,Irrelevant"
"      The restaurant for which I worked; holds a managing system for the tables’ bookings. ,Irrelevant"
"      When a client phones to book a table; and communicates the datum when he wants to come; the waiter needs to check the availability of tables. ,Relevant"
"      If a table is available on that day; the process will keep going; if no table is available; either the client will postpone to another date; or he will cancel his request and the process is over.,Relevant"
"      If it’s a table for more than 4 people; they will be sitting in the “Fish room”; if they’re less or equal to 4 people; they will be placed in the “Harbour room”. ,Relevant"
"      If there is a free table in the room desired; the table will be booked and the waiter will communicate the table number to the client (in order to make it easier for when the customer arrives,Relevant"
      The customer will communicate the accurate time when he will be there. ,Relevant
      The waiter will register the hour in his program. ,Relevant
"      When the client arrives; the waiter has to open the table on his program to confirm that the client arrived. ,Relevant"
"If the waiter hasn’t opened the table on his program in the 20 minutes while the client was supposed to; the reservation will automatically be canceled and the table will be free again for an eventual other client.,Relevant"
      The waiter will go regularly to the client’s table to check that everything is ok.,Relevant
  All the food and drinks ordered by the client will be registered by the waiter on the program with the customer’s table assigned. ,Relevant
"If the bill is more than 60€; a drink will be offered; otherwise nothing will be offered.,Relevant"
  The “table” (on the computer program  will be closed when the client will have paid either by cash or by card.,Relevant
 The process is finished,Relevant
      My sister is working as a recruiter in a big company in which there is a special process to hire people. ,Irrelevant
"      First; when they are looking for a new candidate to work for them; she will place a job description on the website of the company. ,Relevant"
"      If someone is interested in applying for the job; he will be asked to send an email to her e-mail address. ,Relevant"
      She will receive dozens of applications. ,Relevant
"She will only keep people who can either speak English and/or Dutch; those who can’t speak any of those languages will be out. ,Relevant"
      She will notify them by e-mail that their application has been rejected.,Relevant
      She will contact by phone the most interesting profiles to make an interview in face-to-face with them.,Relevant
"      On the phone; they will agree on a datum to meet. ,Relevant"
"      After having seen all the interesting candidates; she will write a report; a debriefing on the best 3 candidates and show it to her director.,Relevant"
"      If the report is clear enough and that the manager can make a decision thanks to it; he will choose the candidate without having seeing him. ,Relevant"
"Otherwise; he will arrange a meeting with the best candidates.,Relevant"
"   If one candidate has been selected; he will receive an email to be informed that he is selected and the others who haven’t been selected; will also be informed by email. ,Relevant"
