sentence,class
 The technician receives the necessary additional parts,Relevant
 The technician continues the intervention with the additional parts sent by the service manager,Relevant
 The technician completes the intervention,Relevant
Following a sales order  the service manager records a service order number,Relevant
 The service manager writes the order confirmation,Relevant
 The service manager completes the order lines with the material required for the service,Relevant
 The sales prices calculated for machine   installation   packaging   shipping needs to be clearly detailed,Relevant
 For example  if discount  deduct it from the price of the line s  concerned in the order ,Irrelevant
 If the service manager has completed and confirmed the order  he enters the intervention in the Intervention Schedule,Relevant
 The service manager has 5 days to encode the intervention otherwise the customer service sends him a reminder,Relevant
 Then the service manager makes the necessary reservations for the intervention,Relevant
 He books the hotel,Relevant
 He reserves the rental car,Relevant
 He reserves the flights,Relevant
 When the reservations are made  the service manager makes sure that the necessary equipment is prepared,Relevant
 The service manager encodes in the lines of the order the prices related to the above mentioned reservations to be re invoiced,Relevant
 When the technicians are back  the service manager writes the final invoice according to the order  the intervention sheet  the service sheet,Relevant
 The service manager sends the invoice to the customer service department,Relevant
 The customer service receives the final invoice and sends it to the customer,Relevant
 The order is completed  the process is finished,Relevant
The process starts when the Nike store register the customer order,Relevant
Then  the site confirms the product availability ,Relevant
Then  the site orders products from warehouse,Relevant
The site fulfills the order,Relevant
Nike store notifies customer,Relevant
The customer receives an email ,Relevant
The Nike store records the transaction ,Relevant
The site proceeds to the payment ,Relevant
The customer receives an email,Relevant
The Nike store redirects the customer to the home page of the site  ,Relevant
The process starts when the customer calls the pizzeria  ,Relevant
The cook is notified ,Relevant
The cook starts searching for the ingredients  ,Relevant
The customer waits 20 min before receiving the pizza,Relevant
When the cook is baking the pizza  he is calling Uber Eats at the same time ,Relevant
Uber eats is notified by the pizzeria to pick up the pizza,Relevant
Uber Eats delivers the pizza to the customer ,Relevant
An invoice is generated and given to the customer ,Relevant
After 20 min the customer comes picks up his pizza ,Relevant
Finally  the customer eats the pizza  the process is finished ,Relevant
 The process starts when there is a claim intake received by the insurance s company,Relevant
 Then the company checks the claim s documents,Relevant
For example  in case of car accident  people must provide driving license  certificate of insurance  certificate of technical inspection,Irrelevant
 If all the documents are valid  the claim is registered  otherwise documents are returned to client specifying what he has to provide,Relevant
 Then the claim is analyzed by the insurers who decide if the claim is accepted or rejected,Relevant
 If the claim is accepted  the insurers have to investigate its value  if it is rejected  a rejection message is sent to client,Relevant
For a high value claim  client can expect to receive more money and his claim should be treated as a priority in comparison with low value claim,Irrelevant
 When the value is determined  the company can calculate the payment amount regarding a scale and notifies the client,Relevant
 After this  the client has to approve the damage payment or reject it and has to send his decision to the insurance company,Relevant
 If the damage s estimation is rejected  the insurance company calculates a new amount within 7 days and sends the proposition to the client,Relevant
 Once the payment s amount is accepted  the company schedules the payment and sends all the information to the client,Relevant
 At last  the company makes the payment to the client and closes the claim  the process is finished,Relevant
 The process starts when the accounting manager creates a new job requisition and posts it on the company s site,Relevant
 Then the candidates apply to this job offer,Relevant
In the application form  the candidate mentions some personnal information,Relevant
  for example his name  adress  formation and former job,Irrelevant
 The HR department receives all the applications of the candidates and registers them,Relevant
 Then the HR department provides a first list of candidates who could suit to the position to the accounting manager,Relevant
 The accounting manager selects potential candidates and requests interviews,Relevant
The criterias of the accounting manager are as follows   he is looking for experienced people  with good knowledge in accounting software and who can speak at least 2 languages,Irrelevant
The HR department invites candidates for a first interview,Relevant
 If the candidate responds  the HR department schedules the interview with the accounting manager,Relevant
 The accounting manager makes the interviews of the candidates,Relevant
 If a candidate is rejected  the HR department sends him a rejection letter,Relevant
 If the candidate is accepted  he receives an offer and has one week to respond,Relevant
 If after one week no response  the company rejects the application and notifies the candidate,Relevant
 If the candidate responds favorably to the offer  the company sends him a summary and the employment form,Relevant
 The candidate sends back the employment form completed to the company,Relevant
 The company hires the candidate,Relevant
There are many ways to order food  but ordering online is one of the most convenient ways today,Irrelevant
 When a customer wants to order food  they first need to choose their item,Relevant
 They  search for their item on the Uber Eats app by typing in the search bar or browsing the displayed restaurants and categories,Relevant
 The app also displays restaurants with sales and discounts to choose from,Relevant
 Once the customer has chosen their order  they must add it to the cart,Relevant
 They may choose to add any special requests for the restaurant along with the order,Relevant
 Next  they have to confirm the delivery address,Relevant
 Then the customer moves on to payment,Relevant
 The app has several alternatives for payment,Irrelevant
 The customer can pay using credit card  debit card  net banking  payment wallets or cash on delivery,Irrelevant
 Once they confirm the payment method  the app opens the relevant payment gateway for the required details to be entered,Relevant
 Once the payment has been confirmed  the customer will be able to track the progress of their delivery on the app,Relevant
 They will also be able to contact the delivery personnel in case of any queries,Relevant
 Once the food is delivered  the process ends,Relevant
Interviews are part of many events and processes,Irrelevant
 They are used to assess a candidate s skills and abilities for a certain role,Irrelevant
The process start when a recruiter organizes an interview,Relevant
Several candidates apply for the job,Relevant
 The candidate must fill in several information,Relevant
 The day of the interview  the venue has to be cleaned and organised with enough seating for all members,Relevant
Due to covid19  proper ventilation have to be set up,Relevant
 Accessories such as folders  notepads and pens must be provided for the panel and the candidate,Relevant
 Evaluation forms and questionnaires must be printed for each panel member for the interview process,Relevant
 Refreshments such as water and light snacks must be set out for everyone in the room,Relevant
 Once the candidate has arrived at the venue  they come into the room for the interview to begin,Relevant
The process starts when the truck arrives to the deposit with all the daily packages to be distributed,Relevant
All the packages are inside containers,Irrelevant
The truck driver unloads all the containers at the deposit entrance,Relevant
Then  an employee continually brings all the containers  two by two  to the place where each package will be distributed to the right service,Relevant
Two employees receipt the containers  open it and display all the different packages on a conveyor belt,Relevant
Two others employees scan every single package  for tracking purpose ,Relevant
At the same time  they print and paste a small label with a delivery service number on the package they just scan,Relevant
A delivery service number regroups all the packages to be distribute in a given area,Relevant
Then  other employees can sort out each package according to their new delivery service number,Relevant
There is one or two containers corresponding to each service number,Irrelevant
Afterwards  once all packages have been laid out  every worker get acknowledge with their personal delivery service number,Relevant
Every employee loads their respective packages to their delivery van,Relevant
The process starts when the truck arrives to the deposit with all the daily letters to be distributed,Relevant
The truck driver unloads all the containers at the deposit entrance,Relevant
Then  a manager brings all the containers to the corresponding place inside the deposit,Relevant
The manager then opens it and displays all the blue boxes that were inside the container to the corresponding postman service,Relevant
The postman then gets all his blue boxes filled with letters and goes to his personal desk,Relevant
He sorts out all the letters according to his trajectory service,Relevant
Then  the postman takes the daily ad papers from the manager,Relevant
He prepares his delivery service by adding the ad papers to the letters,Relevant
Proceeding this way  the postman will save a lot of time on his delivery service,Irrelevant
Every employee loads their respective letters and ad papers to their delivery van,Relevant
Then  every employee leaves the deposit to deliver their letters  to the final customer,Relevant
Once all the letters have been given  the postman goes back to the deposit and the process is finished,Relevant
Strategimmo is a real estate company offering a new type of products  tiny houses,Irrelevant
The process starts when a client asks for information,Relevant
The sales person fixes a meeting with the client,Relevant
If the client knows what he wants  he asks for it,Relevant
The sales person take notes of everything and advises the best choices,Relevant
A second meeting is then fixed with the client,Relevant
The sales person asks the architect to develop a plan,Relevant
An employee provides the 3D plan before the date of the second meeting,Relevant
Once finished  if the client comes then the client decides whether he approves the plan or not,Relevant
At the same time  the client pays a deposit,Relevant
 If the client approves the plan  the good place to build the project is negotiated with the client,Relevant
 The construction manager handles the supply of the raw materials  he orders them,Relevant
 In general the workers will not work when it is cold outside,Irrelevant
 Once the materials are received  the construction starts and the workers build the project,Relevant
 One of the rules is that the construction site must stay clean all the time,Relevant
 Once the project finished  the payment is completed by the customer,Irrelevant
 If the client approves the plan  the good place to build the project is negotiated with the client,Relevant
 The project has been built by a dozen of workers,Irrelevant
 If the customer does not know what he wants  a sales person takes in charge the customer and provides the different possibilities available  a swimming pool  a gym or a home,Relevant
 The customer makes his choice if he likes one project,Relevant
 Once the choice is made  the client goes to the number 4,Relevant
 If not the process is over,Relevant
Kinepolis is a company that owns several cinemas in Belgium which present all the new famous movies,Irrelevant
The process starts when a customer enters the cinema and decides to watch a movie,Relevant
He orders a ticket to an employee at the checkout directly,Relevant
When he goes to the employee  the employee asks how many tickets are needed,Relevant
Then the employee proposes different 3 types of tickets  normal  students or senior tickets,Relevant
The different types of tickets allow people to pay a reduced amount in function of their status,Irrelevant
The employee will ask for an identity card if there is a senior ticket asked,Relevant
The employee will ask for a student card if there is a student ticket asked,Relevant
If the documents provided are appropriate then the employee prints the tickets,Relevant
 If the documents provided are not appropriate then the tickets are changed to normal tickets and are printed,Relevant
 Once the tickets printed  the employee asks for a payment by card or in cash,Relevant
 The color of the tickets are white and blue,Irrelevant
 If the payment is in cash  the employee has to count for the right amount once the cash is collected,Relevant
He will give back the change if necessary,Relevant
If the payment is by card  the employee writes the amount on the machine and presents it to the client,Relevant
In Belgium  it is mandatory to propose the payment by card in any shop,Irrelevant
Once the payment is accepted  the employee gives the tickets and shows where the customer should go,Relevant
This ends the process,Relevant
The process starts when the librarian receives the request for a book from the student,Relevant
The librarian sends back an acknowledgement of receipt,Relevant
The librarian checks the status of the book,Relevant
The book is available  the librarian sends an email to the student and gives him her 2 days to pick up the book and asks for a confirmation in return of this email indicating the day and time of his her visit,Relevant
The librarian receives the confirmation email from the student and makes a textbook loan agreement in which the date of return of the book is mentioned,Relevant
The student picks up the book and signs and dates it  the process stops,Relevant
If the student has not sent a confirmation email and has not picked up the book  the librarian sends a reminder email and gives him her another 3 days  if within 3 days the student confirms and picks up the book  the process ends  if the student does not send the email and does not pick up the book  the process also ends,Relevant
The book is not available and the university will be in possession of it at any moment  the librarian mails to say that the book is not available and asks him to wait for 3 weeks,Relevant
The student maintains the request by sending a confirmation email  and the process resumes at step 2 after 3 weeks,Relevant
If the book is in decline the librarian emails the student to notify him her that the book is in decline and the process ends,Relevant
The Grignoux is a non profit organisation in Liège that promotes and exhibits cinematographic films  ,Irrelevant
The process starts when the cinema team puts the catalogue of shows online ,Relevant
The customer requests tickets for a film show ,Relevant
The cinema team checks the system for availability ,Relevant
The ticket is not available  the team informs the customer that the tickets are not available and the process ends ,Relevant
The ticket is there and the available seats are displayed on the screen for customer selection ,Relevant
The customer selects the seat ,Relevant
The team confirms the seat and informs the amount due ,Relevant
The customer makes the payment ,Relevant
The team prints the ticket and gives it to the customer ,Relevant
The customer receives the ticket from the cinema and the process is finished ,Relevant
The process starts when a customer enters in the restaurant,Relevant
The student has to welcome him and asks for how many people they are,Relevant
Then  he accompanies the customer to a table,Relevant
The student gives the restaurant menu and ask if they will eat or just drink,Relevant
In the menu  there are pasta  burgers and salad,Irrelevant
When he sees they have chosen  he comes back to the table and takes the order,Relevant
After  the student gives the order to the barman and to the cook,Relevant
When the drinks are ready   he brings it to the table,Relevant
When the meals are ready  he brings it to the table,Relevant
When they have finished to eat  the student brings back the dishes,Relevant
Finally  he asks if they want the bill  ,Relevant
If no  he waits a little bit until they ask the bill  If yes  he brings the bill to the table ,Relevant
The process is finished when the customer pays and leaves the restaurant  ,Relevant
 The process starts when I go to the app to order a meal ,Relevant
I choose what I want to eat and I pay online with my card,Relevant
For example  I often choose a pizza or a burger at  The Huggy s bar ,Irrelevant
When it is paid  Takeway and the restaurant receive a notification of the order,Relevant
The restaurant prepares the meal during the delivery man rides his bike to the restaurant ,Relevant
During this time  I watch Netflix ,Relevant
If it is ready  the delivery man enters in the restaurant and picks up the meal ,Relevant
If it is not ready  he has to wait a little bit,Relevant
After  he rides his bike to the address indicated on his smartphone,Relevant
When he arrives in front of my house  he rings the doorbell,Relevant
I come to open the door and he gives me the meal  ,Relevant
The process is finished ,Relevant
Zalando is an online clothing store that includes several brands,Irrelevant
This website was created in 2008,Irrelevant
 The process starts when a customer order clothes or accessories online on the website,Relevant
 The customer puts clothes accessories in his cart,Relevant
 For example  a little black dress and a pair of shoes,Irrelevant
The customer confirms his cart and is redirected to the connexion page,Relevant
The customer has to create an account on the website in order to enter his personal information or to connect himself to an account already created,Relevant
Zalando sends an email to the customer to confirm his account,Relevant
The customer chooses to receive his order at home or in a relay point,Relevant
The customer has to confirm his delivery and billing address,Relevant
Then the customer is redirected to a payment page where he can choose what kind of payment he prefers  Bancontact  Invoice  Credit Card  PayPal,Relevant
After the payment  the order is confirmed and sent as soon as possible,Relevant
In the Zalando sheds  employees prepare the order and pack it,Relevant
They then pass the package on to their carrier,Relevant
The best carriers are DPD and BPost,Irrelevant
The carrier delivers the package to the client,Relevant
The customer takes his order and then the process is finished,Relevant
Page 111 is a stationary store and bookstore located in the shopping center Crescend eau in Verviers  next to the Decathlon store,Irrelevant
The process starts when a customer enters the shop,Relevant
The customer chooses the items he needs,Relevant
For example  a pad of paper and a book about the economy,Irrelevant
A saleswoman from the store goes to meet him to ask him if he needs help,Relevant
The customer asks for information,Relevant
The saleswoman answers him and helps him to choose the best articles,Relevant
The saleswomen are very versatile and know the store inside and out,Irrelevant
The customer then goes to the cashier,Relevant
The saleswoman scans the items and tells him the total amount to pay,Relevant
Then  the customer pays  and he can choose to pay in several ways  Bancontact  Credit Card  Cash,Relevant
Page 111 receives the payment,Relevant
The saleswoman packs the items and gives the bag to the customer,Relevant
The customer takes his bag and leaves the store,Relevant
The process is finished,Relevant
HEC Consulting is a junior enterprise specialized in marketing and market research ,Irrelevant
The process starts when HEC Consulting publishes its announcement for recruitment ,Relevant
This announcement contains for instance the deadlines and steps coming in the next weeks ,Irrelevant
Interested students first have to send to a representative their CV and cover letter by mail ,Relevant
Then  students receive a mail with several possibilities of dates to pass their first round ,Relevant
Students respond to the mail with their selected date of choice ,Relevant
On the selected due date  students go to HEC to be evaluated by some of HEC Consulting representatives ,Relevant
A few days after the interview  HEC Consulting representatives call the students back to inform them if they are selected or not for round 2 ,Relevant
After the call  selected students have to choose another date for the second round ,Relevant
On the selected due date  students go to HEC to be evaluated by cracking case studies ,Relevant
A few days after this round  HEC Consulting representatives call students to give them feedback about them being recruited or not  the process is then finished ,Relevant
The process starts by buying the ingredients at the store ,Relevant
For this recipe  some details can vary a little bit depending on the people taste ,Irrelevant
When the ingredients are bought  you wash the vegetables before cooking them ,Relevant
You cut the onions and tomatoes into small pieces ,Relevant
You put olive oil in the pan and fry the onions ,Relevant
Meanwhile  you start boiling water for pasta in a casserole  ,Relevant
When the onions are fried  put the tomatoes and ricotta into the pan ,Relevant
Then  you put spices into the mixture ,Relevant
For example  you can use salt  pepper  basil and chili as sorts of spices ,Irrelevant
When the water boils  you put the pasta in it ,Relevant
When the pasta is cooked  you drain the water from it ,Relevant
Finally  pour the pasta into the sauce in the pan  the process is finished ,Relevant
The process starts when a customer sends an e mail with some documents in order to have the free item ,Relevant
The customer service department check the validity of the different documents ,Relevant
If the documents are valid  the stock of the free product must be checked ,Relevant
If the product is still available  an email must be sent to the customer to indicate that he can take advantage of the offer and ask for his contact information ,Relevant
Once the customer s contact information is received  the request should be sent to the human resources department ,Relevant
It is then necessary to collect the product from the storage warehouse ,Relevant
Once the product has been found  it has to be packed and the customer s contact information has to be entered ,Relevant
The customer service department must then send an email to the customer to say that the product will be shipped ,Relevant
The product is shipped ,Relevant
The customer service sends an email to the customer to get a return on the product and gather the results  The process is finished ,Relevant
The process starts when a customer makes an order on the website ,Relevant
The employees in the warehouse receive the order form ,Relevant
The employee  who receives the order looks at the location of the different items ,Relevant
The employee will look for the different items in the warehouse ,Relevant
The employee scans the items ,Relevant
The employee verifies the order  packs the items  places the invoice  and sticks a label with the customer s address ,Relevant
The packaged order is then put into a printer with the other orders ,Relevant
All orders are then sent to a delivery person ,Relevant
The delivery man brings the order to the customer ,Relevant
The customer must sign the order form and the process is finished ,Relevant
 The process starts when a customer goes on the merchant s website,Relevant
 The customer navigate trough the website and chooses the products he will buy,Relevant
 For example  a pair of shoes or a t shirt,Irrelevant
 The platform automatically put these products into the buyer s basket,Relevant
 The buyer validates his order,Relevant
 The platform notifies the order to the store and give the customer an order number,Relevant
 The notification is sent instantly via a computer system that the merchant uses,Relevant
 A salesperson prepare the order in store,Relevant
 The customer goes to the physical store,Relevant
 The buyer communicates his order number to the salesperson,Relevant
 The customer pays his order by card or by cash,Relevant
 The process ends when the customer has paid and collected his order,Relevant
 Boeuf Bourguignon is a great classic of french cuisine,Irrelevant
 The process starts with the cutting of the meat into large cubes,Relevant
 Then  cut the vegetables into small pieces,Relevant
